"Month","Seasonal_Index"
"January",1.08143140078556
"February",1.05098398421183
"March",1.05849907431498
"April",1.00716580283303
"May",1.09817935977533
"June",0.934391304727035
"July",0.9268710541122
"August",0.911033385870705
"September",0.97207548414755
"October",0.993552683093756
"November",0.987457854215963
"December",0.978358611912063
